index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	रामः		रामः	राम{पुं;1;एक}	राम{पुं;1;एक}	कर्ता,11.1;कर्ता,8.1	कर्ता,11.1	N1	राम_ने	राम_ने
2.1	महा-		महा-बलः	महा}/महत्	महा	षष्ठी-बहुव्रीहि,2.2	षष्ठी-बहुव्रीहि,2.2	CP	महा-	महा-
2.2	बलः		--	बल{पुं;1;एक}	बल{पुं;1;एक}	विशेषणम्,1.1	विशेषणम्,14.2#कर्ता,11.1	N1	बल	बल
3.1	पादुके		पादुके	पादुका{स्त्री;8;एक}/पादुक{पुं;7;एक}/पादुक{नपुं;7;एक}	पादुक{पुं;7;एक}	अधिकरणम्,8.1	अधिकरणम्,13.1#अधिकरणम्,11.1#अधिकरणम्,8.1#अधिकरणम्,5.1#सम्बोध्यः,13.1#सम्बोध्यः,11.1#सम्बोध्यः,5.1	N7	पादुक_में	पादुक_में
4.1	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	और	और
5.1	अस्य		अस्य	इदम्{सर्वनाम;पुं;6;एक}/इदम्{सर्वनाम;नपुं;6;एक}/अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;दिवादिः}	इदम्{सर्वनाम;पुं;6;एक}	षष्ठीसम्बन्धः,6.1	षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,3.1	N6	इसके	इसके
6.1	राज्याय		राज्याय	राज्य{नपुं;4;एक}	राज्य{नपुं;4;एक}	प्रयोजनम्,8.1	प्रयोजनम्1,13.1#प्रयोजनम्1,11.1#प्रयोजनम्1,8.1#प्रयोजनम्1,5.1	N4	राज्य_को	राज्य_को
7.1	न्यासं		न्यासं	न्यास{पुं;2;एक}	न्यास{पुं;2;एक}	कर्म,8.1	विशेषणम्,13.1#कर्म,13.1#कर्म,8.1#कर्म,5.1	N2	धरोहर	धरोहर
8.1	दत्त्वा		दत्त्वा	दा1{अव्य;क्त्वा;भ्वादिः}	दा1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,11.1	पूर्वकालः,13.1#पूर्वकालः,11.1#पूर्वकालः,5.1	NA	दे_कर	दे_कर
9.1	पुनः		पुनः	पुनः{अव्य}	पुनः{अव्य}	वीप्सा,10.1	वीप्सा,10.1#क्रियाविशेषणम्,13.1#क्रियाविशेषणम्,11.1#क्रियाविशेषणम्,8.1#क्रियाविशेषणम्,5.1	NA	फिर	फिर
10.1	पुनः		पुनः	पुनः{अव्य}	पुनः{अव्य}	क्रियाविशेषणम्,11.1	क्रियाविशेषणम्,13.1#क्रियाविशेषणम्,11.1#क्रियाविशेषणम्,8.1#क्रियाविशेषणम्,5.1	NA	फिर	फिर
11.1	निवर्तयामास		निवर्तयामास	नि_वृत्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}	नि_वृत्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,1.1;सकर्मक	-	KP	निवृत्त_हुआ	निवृत्त_हुआ
12.1	ततः		ततः	ततः{अव्य}	ततः{अव्य}	सम्बन्धः,13.1	सम्बन्धः,13.1#कार्य_द्योतकः,13.1#अपादानम्,11.1	NA	वहाँ_से	वहाँ_से
13.1	भरतं		भरतं	भृ1{कर्तरि;लोट्;म;द्वि;परस्मैपदी;भ्वादिः}/भरत{पुं;2;एक}	भृ1{कर्तरि;लोट्;म;द्वि;परस्मैपदी;भ्वादिः}		कर्म,8.1#कर्म,5.1	KP	पूर्ण_करो	पूर्ण_करो
14.1	भरत-		भरत-अग्रजः	भरत	भरत	षष्ठी-बहुव्रीहि,14.2	षष्ठी-बहुव्रीहि,14.2	CP	भरत-	भरत-
14.2	अग्र-		--	अग्र-	अग्र-	उपपद-तत्पुरुष,14.3	उपपद-तत्पुरुष,14.3#विशेषणम्,2.2#विशेषणम्,1.1#कर्ता,11.1#अभेदः,1.1	N1	आगे	आगे
14.3	जः		--	ज{पुं;1;एक}/ज{पुं{1;एक}	ज{पुं;1;एक}	विशेषणम्,1.1	विशेषणम्,2.2#विशेषणम्,1.1#कर्ता,11.1#अभेदः,1.1	N1	आगे	आगे
15.1	.		.	-	-	-	-	FS	-	-

