index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	तेन		तेन	तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनादिः}	तद्{सर्वनाम;पुं;3;एक}	करणम्,5.1	विशेषणम्,15.1#कर्ता,16.1#करणम्,5.1#हेतुः,16.1#हेतुः,11.1#हेतुः,7.1#हेतुः,5.1#विशेषणम्,3.1	N3	उससे	उससे
2.1	एव		एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	ही	ही
3.1	शोकेन		शोकेन	शोक{पुं;3;एक}	शोक{पुं;3;एक}	हेतुः,5.1	कर्ता,16.1#हेतुः,16.1#हेतुः,11.1#हेतुः,7.1#हेतुः,5.1	N3	शोक_से	शोक_से
4.1	गृध्रं		गृध्रं	गृध्र{पुं;2;एक}	गृध्र{पुं;2;एक}	विशेषणम्,6.1	विशेषणम्,17.2#विशेषणम्,16.1#विशेषणम्,13.1#विशेषणम्,10.1#विशेषणम्,6.1#कर्म,11.1#कर्म,7.1#कर्म,5.1	N2	लोभी	लोभी
5.1	दग्ध्वा		दग्ध्वा	दह्1{अव्य;क्त्वा;भ्वादिः}	दह्1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,11.1	पूर्वकालः,16.1#पूर्वकालः,11.1	NA	जला_कर	जला_कर
6.1	जटायुषम्		जटायुषम्	जटायुस्{पुं;2;एक}	जटायुस्{पुं;2;एक}	कर्म,5.1	कर्म,11.1#कर्म,7.1#कर्म,5.1	N2	जटायुस्_को	जटायुस्_को
7.1	मार्गमाणः		मार्गमाणः	मार्गमाण{पुं;1;एक(मार्ग्1;शानच्_लट्;चुरादिः)}	मार्गमाण{पुं;1;एक(मार्ग्1;शानच्_लट्;चुरादिः)}	कर्ता,11.1;कर्ता,5.1	वर्तमानसमानकालः,11.1#कर्ता,11.1	N1	अन्वेषण_करता_हुआ	अन्वेषण_करता_हुआ
8.1	वने		वने	वनि{पुं;8;एक}/वन{नपुं;7;एक}	वन{नपुं;7;एक}	अधिकरणम्,7.1	अधिकरणम्,16.1#अधिकरणम्,11.1#अधिकरणम्,7.1#अधिकरणम्,5.1#सम्बोध्यः,16.1#सम्बोध्यः,11.1	N7	वन_में	वन_में
9.1	सीतां		सीतां	सीता{स्त्री;2;एक}	सीता{स्त्री;2;एक}	कर्म,7.1	कर्म,11.1#कर्म,7.1#कर्म,5.1	N2	सीता_का	सीता_का
10.1	राक्षसं		राक्षसं	राक्षस{पुं;2;एक}	राक्षस{पुं;2;एक}	कर्म,11.1	कर्म,11.1#कर्म,7.1#कर्म,5.1	N2	राक्षस	राक्षस
11.1	संददर्श		संददर्श	सम्_दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/सम्_दृश्1{कर्तरि{लिट्;उ;एक;परस्मैपदी;भ्वादिः}	सम्_दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,7.1;सकर्मक	-	KP	देखा	देखा
12.1	ह		ह	ह{अव्य}	ह{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	ह	ह
13.1	कबन्धं		कबन्धं	कबन्ध{पुं;2;एक}	कबन्ध{पुं;2;एक}	सञ्ज्ञा,10.1	सञ्ज्ञा,10.1#कर्म,11.1#कर्म,7.1#कर्म,5.1	N2	पेट_को	पेट_को
14.1	नाम		नाम	नाम{अव्य}	नाम{अव्य}	सञ्ज्ञा_द्योतकः,13.1	सञ्ज्ञा_द्योतकः,13.1	NA	नाम_1	नाम_1
15.1	रूपेण		रूपेण	रूप{नपुं;3;एक}	रूप{नपुं;3;एक}	अङ्गविकारः,16.1	करणम्,5.1#हेतुः,11.1#हेतुः,7.1#हेतुः,5.1#अङ्गविकारः,16.1	N3	रूप_से	रूप_से
16.1	विकृतं		विकृतं	विकृत{पुं;2;एक(वि_कृ3;क्त;तनादिः)}/विकृत{नपुं;1;एक(वि_कृ3;क्त;तनादिः)}/विकृत{नपुं;2;एक(वि_कृ3;क्त;तनादिः)}/विकृत{पुं;2;एक(वि_कृ2;क्त;स्वादिः)}/विकृत{नपुं;1;एक(वि_कृ2;क्त;स्वादिः)}/विकृत{नपुं;2;एक(वि_कृ2;क्त;स्वादिः)}	विकृत{पुं;2;एक(वि_कृ3;क्त;तनादिः)}	विशेषणम्,10.1	विशेषणम्,17.2#कर्म,11.1#कर्म,7.1#कर्म,5.1#विशेषणम्,13.1#विशेषणम्,10.1#विशेषणम्,6.1#विशेषणम्,4.1	N2	बीभत्स	बीभत्स
17.1	घोर-		घोर-दर्शनम्	घोर	घोर	षष्ठी-बहुव्रीहि,17.2	षष्ठी-बहुव्रीहि,17.2	CP	घोर-	घोर-
17.2	दर्शनम्		--	दर्शन{पुं;2;एक}/दर्शन{नपुं;1;एक}/दर्शन{नपुं;2;एक}	दर्शन{पुं;2;एक}	विशेषणम्,10.1	विशेषणम्,16.1#कर्म,11.1#कर्म,7.1#कर्म,5.1#विशेषणम्,13.1#विशेषणम्,10.1#विशेषणम्,6.1#विशेषणम्,4.1	N2	दर्शन	दर्शन
18.1	.		.	-	-	-	-	FS	-	-

