index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active

1.1	कर्मणा		कर्मणा	कर्मन्{नपुं;3;एक}	कर्मन्{नपुं;3;एक}	विशेषणम्,2.1	विशेषणम्,3.1#विशेषणम्,2.1#हेतुः,8.1#हेतुः,7.1#हेतुः,2.1	N3	कर्म	कर्म
2.1	तेन		तेन	तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनादिः}	तद्{सर्वनाम;नपुं;3;एक}	करणम्,8.1	विशेषणम्,3.1#विशेषणम्,1.1#करणम्,8.1#करणम्,7.1#हेतुः,8.1#हेतुः,7.1	N3	उससे	उससे
3.1	महता		महता	महत्{पुं;3;एक}/महत्{नपुं;3;एक}	महत्{नपुं;3;एक}	विशेषणम्,2.1	विशेषणम्,2.1#विशेषणम्,1.1#करणम्,8.1#करणम्,7.1#हेतुः,8.1#हेतुः,7.1#हेतुः,2.1	N3	महान्	महान्
4.1	त्रैलोक्यं		त्रैलोक्यं	त्रैलोक्य{नपुं;1;एक}/त्रैलोक्य{नपुं;2;एक}	त्रैलोक्य{नपुं;1;एक}	कर्ता,8.1	कर्म,2.1#कर्ता_बे_वेर्ब्स्,8.1	N1	तीन_लोक	तीन_लोक
5.1	स-		स-चर-अचरम्	स-	स-	बहुव्रीहि,5.3	बहुव्रीहि,5.3	CP	स-	स-
5.2	चर		--	चर-	चर-	इतरेतर-द्वन्द्व	इतरेतर-द्वन्द्व,5.3	CP	चर-	चर-
5.2	अचरम्		--	अचर{पुं;2;एक}/अचर{नपुं;1;एक}/अचर{नपुं;2;एक}	अचर{नपुं;1;एक}	विशेषणम्,4.1	विशेषणम्,7.1#विशेषणम्,6.4#विशेषणम्,4.1#कर्म,2.1#विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,6.4#विधेय_विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,8.1	N1	चराचर	चराचर
6.1	स-		स-देव-ऋषि-गणं	स	स	बहुव्रीहि,6.4	बहुव्रीहि,6.4	CP	स-	स-
6.2	देव-		--	देव	देव	इतरेतर-द्वन्द्व,6.3	इतरेतर-द्वन्द्व,6.3	CP	देव-	देव-
6.3	ऋषि-		--	ऋषि	ऋषि	षष्ठी-तत्पुरुष,6.4	षष्ठी-तत्पुरुष,6.4	CP	ऋषि-	ऋषि-
6.4	गणं		--	गण{पुं;2;एक}/गण{नपुं;1;एक}/गण{नपुं;2;एक}	गण{नपुं;1;एक}	विशेषणम्,4.1	विशेषणम्,7.1#विशेषणम्,5.2#विशेषणम्,4.1#कर्म,2.1#विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,5.2#विधेय_विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,8.1	N1	गण	गण
7.1	तुष्टं		तुष्टं	तुष्ट{पुं;2;एक(तुष्1;क्त;दिवादिः)}/तुष्ट{नपुं;1;एक(तुष्1;क्त;दिवादिः)}/तुष्ट{नपुं;2;एक(तुष्1;क्त;दिवादिः)}	तुष्ट{नपुं;1;एक(तुष्1;क्त;दिवादिः)}	विधेय_विशेषणम्,4.1	विशेषणम्,6.4#विशेषणम्,5.2#विशेषणम्,4.1#कर्म,2.1#विधेय_विशेषणम्,6.4#विधेय_विशेषणम्,5.2#विधेय_विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,8.1	N1	प्रसन्न	प्रसन्न
8.1	अभवत्		अभवत्	भू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भ्वादिः}	भू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,4.1	-	KP	हुआ	हुआ
9.1	राघवस्य		राघवस्य	राघव{पुं;6;एक}	राघव{पुं;6;एक}	षष्ठीसम्बन्धः,10.1	षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1	N6	रघुवंशी_के	रघुवंशी_के
10.1	महात्मनः		महात्मनः	महात्मन्{पुं;2;बहु}/महात्मन्{पुं;5;एक}/महात्मन्{पुं;6;एक}	महात्मन्{पुं;5;एक}	हेतुः,8.1	विशेषणम्,9.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,1.1#हेतुः5,8.1#हेतुः5,7.1#हेतुः5,2.1#कर्म,2.1	N5	महात्मा_से	महात्मा_से
11.1	.		.	-	-	-	-	FS	-	-

